,Akkadian,Assyrian,Hebrew,Maltese,Arabic,Bambara,Yoruba,Wolof,Basque,Albanian,Armenian,Western Armenian,Latvian,Lithuanian,Breton,Scottish Gaelic,Irish,Manx,Welsh,Afrikaans,Danish,Dutch,English,Faroese,Gothic,Icelandic,Low Saxon,Norwegian,German,Swedish,Greek,Ancient Greek,Bhojpuri,Hindi,Marathi,Sanskrit,Urdu,Kurmanji,Persian,Catalan,French,Galician,Italian,Latin,Portuguese,Romanian,Spanish,Belarusian,Bulgarian,Croatian,Czech,Old Church Slavonic,Polish,Russian,Serbian,Slovak,Slovenian,Ukrainian,Upper Sorbian,Estonian,Finnish,Karelian,Erzya,Moksha,Komi Permyak,Komi Zyrian,Skolt Sami,Hungarian,Kazakh,Old Turkish,Turkish,Uyghur,Japanese,Korean,Telugu,Tamil,Cantonese,Chinese,Classical Chinese,Thai,Vietnamese,Tagalog,Indonesian,Warlpiri,Kiche,Apurina,Munduruku,Guajajara,Tupinamba,Kaapor
Classical Chinese,98.66,102.14,97.6,101.24,98.89,103.32,100.19,98.91,97.29,99.45,98.35,97.0,96.83,99.31,100.98,101.49,100.35,101.31,98.61,100.91,101.48,96.86,102.2,99.83,100.94,99.49,98.5,100.07,100.16,98.85,98.89,94.06,99.44,96.43,103.32,102.64,105.09,98.71,99.08,101.9,100.3,100.28,102.05,98.35,100.56,97.91,101.53,98.35,97.9,97.82,97.64,99.53,96.68,100.08,98.26,97.79,98.62,98.6,97.92,95.43,96.59,97.96,100.68,97.17,100.36,101.69,98.85,100.81,98.04,98.2,99.79,99.41,98.62,97.6,99.2,99.61,87.82,95.29,,94.48,94.42,96.03,98.87,98.54,96.17,96.71,101.78,97.04,97.72,99.99
Thai,101.39,100.44,101.47,99.37,98.23,96.21,98.8,102.67,99.27,100.79,99.01,98.97,100.26,100.61,98.58,103.49,100.6,97.87,104.73,98.74,100.35,96.95,98.97,100.4,99.08,97.61,95.43,99.79,95.45,100.99,99.05,100.91,100.18,97.67,101.74,100.45,101.61,98.96,98.19,100.39,98.81,99.37,100.06,98.45,97.5,100.8,95.23,99.59,101.5,99.63,100.45,102.43,100.87,102.24,100.16,102.54,99.89,101.23,101.11,98.65,95.71,99.23,101.79,102.7,97.68,99.68,96.7,99.63,97.71,100.03,97.37,101.13,102.84,103.65,98.74,101.1,99.75,99.06,94.48,,98.14,96.64,99.63,99.75,101.91,102.76,96.64,97.26,97.96,97.4
Vietnamese,100.81,101.13,98.91,97.86,100.08,101.09,99.56,96.5,96.92,100.85,97.72,92.97,100.13,98.28,99.91,98.4,97.78,98.31,95.87,100.66,101.31,100.55,103.1,100.18,103.05,100.42,103.96,99.36,94.98,99.48,96.09,99.08,100.9,104.59,102.09,102.5,106.09,101.61,102.19,101.33,102.42,96.99,102.33,100.93,98.02,103.86,99.02,101.0,102.06,100.15,100.12,99.16,100.7,101.43,100.53,97.62,101.0,99.7,98.34,99.22,95.47,99.71,97.61,96.01,104.72,102.97,96.55,100.26,99.3,99.33,97.8,101.7,100.43,100.94,95.44,98.6,98.56,101.31,94.42,98.14,,96.07,95.77,98.39,101.29,97.3,99.32,98.32,99.09,98.28
Tagalog,99.58,98.15,101.8,100.43,99.82,98.02,99.0,100.02,99.84,101.7,100.93,100.14,97.0,97.45,99.37,97.0,97.42,99.22,99.4,99.32,99.91,100.03,102.73,102.85,100.76,100.87,99.94,101.64,100.07,101.13,98.56,94.96,96.29,96.42,99.7,97.7,99.32,97.28,96.05,100.33,101.89,98.96,99.19,99.45,99.96,98.14,96.76,98.32,102.73,96.18,99.23,93.79,98.98,101.1,97.51,99.6,99.76,101.1,99.27,103.01,98.03,100.93,100.71,99.44,99.91,100.24,99.04,96.55,102.48,100.94,101.37,100.7,100.59,101.79,97.44,100.37,94.97,94.68,96.03,96.64,96.07,,71.37,96.35,100.61,101.75,100.03,99.97,100.27,99.71
Indonesian,96.96,96.2,99.78,102.74,98.63,95.39,99.99,99.4,98.81,100.49,100.89,99.56,100.85,97.16,97.78,99.29,98.45,100.43,96.92,102.41,100.57,101.46,100.24,101.06,101.42,99.0,100.95,102.98,102.53,101.4,98.65,96.74,95.13,99.71,98.3,99.98,101.16,98.02,98.82,99.06,98.99,98.42,97.82,89.68,100.25,94.42,97.62,97.21,99.59,94.91,95.35,93.99,95.83,98.41,95.38,97.23,96.09,99.71,96.22,104.93,101.36,102.85,99.5,99.21,100.91,100.28,101.06,97.53,101.54,104.67,101.62,102.07,99.26,97.76,99.65,100.56,99.07,100.62,98.87,99.63,95.77,71.37,,96.55,96.94,99.39,97.13,95.85,99.37,99.1
Warlpiri,97.71,95.48,100.53,100.99,101.31,97.27,102.87,100.54,97.69,100.62,100.46,101.26,99.49,98.65,99.6,100.2,100.69,102.21,100.37,101.06,98.68,101.42,98.87,98.68,101.07,97.64,100.16,100.14,100.48,98.31,99.03,99.34,103.15,100.69,101.27,101.17,100.54,100.84,100.4,98.21,96.95,100.32,96.42,97.65,98.0,100.19,96.79,96.29,100.96,96.54,98.42,99.09,99.67,97.93,97.15,98.78,97.62,100.0,99.51,100.67,102.29,102.99,98.49,97.12,99.94,99.57,99.7,99.65,99.48,99.67,97.7,100.69,101.62,96.75,100.2,99.28,97.81,98.85,98.54,99.75,98.39,96.35,96.55,,100.48,100.51,101.54,100.56,102.59,101.32
Kiche,97.96,97.38,98.34,99.35,99.65,102.35,101.21,101.03,101.18,101.61,103.48,103.83,99.02,100.0,100.98,99.88,101.16,101.04,99.96,100.28,98.09,98.26,100.87,101.92,101.27,99.76,96.93,102.02,98.4,101.42,99.23,101.4,98.69,100.03,101.85,101.42,101.05,97.74,98.47,100.31,99.11,101.97,96.97,98.82,101.39,99.14,99.54,99.88,100.72,102.53,99.88,101.1,98.79,98.75,101.86,98.6,100.76,99.41,100.23,101.22,100.34,100.13,98.53,96.51,102.18,101.69,99.38,103.05,99.0,101.06,100.71,101.96,99.53,101.55,100.27,101.73,99.45,99.64,96.17,101.91,101.29,100.61,96.94,100.48,,102.28,98.35,99.52,98.62,99.54
Apurina,101.36,100.99,99.62,99.67,99.72,98.5,88.26,98.25,97.68,101.22,101.1,99.03,100.59,100.25,99.41,101.03,98.3,98.05,98.45,101.73,99.64,103.39,103.17,100.26,102.39,101.34,101.38,99.7,100.94,100.15,99.21,100.84,96.13,98.87,99.36,102.84,102.68,99.24,100.74,99.14,99.08,99.95,101.33,98.65,100.64,98.85,96.62,98.18,96.06,96.18,99.18,96.91,98.26,99.15,96.75,98.25,97.54,95.52,98.27,99.93,98.82,101.68,99.8,99.26,97.49,97.03,99.2,97.7,100.32,100.91,98.31,99.34,100.57,98.33,97.96,97.91,97.79,97.69,96.71,102.76,97.3,101.75,99.39,100.51,102.28,,100.43,102.09,102.49,97.44
Munduruku,97.07,96.9,102.72,98.8,100.35,99.98,100.29,99.51,99.05,102.37,101.09,102.47,101.22,102.01,97.72,97.86,98.76,95.68,95.7,101.82,102.82,100.95,99.69,101.49,99.15,100.77,100.57,102.44,100.94,99.86,97.34,99.37,100.39,104.08,102.48,100.75,101.36,101.03,101.05,101.5,100.28,100.72,99.88,101.44,101.79,99.79,100.96,102.08,102.31,101.47,101.39,100.56,101.13,101.78,100.84,103.58,101.71,102.68,101.17,100.01,99.76,100.27,98.2,96.24,102.89,102.85,99.32,99.38,99.02,100.29,101.8,99.81,101.88,100.06,101.04,102.55,100.37,98.68,101.78,96.64,99.32,100.03,97.13,101.54,98.35,100.43,,92.79,88.98,95.03
Guajajara,97.46,100.76,103.05,98.24,98.95,99.1,99.4,95.44,98.26,99.82,99.2,99.83,99.62,100.23,99.38,99.8,99.69,95.01,100.39,103.13,100.86,100.35,100.31,100.23,99.52,100.0,101.03,99.62,98.91,99.93,99.92,100.51,100.09,97.75,100.41,99.33,98.69,101.78,95.98,100.06,100.5,101.35,100.67,99.69,98.39,98.26,99.49,100.13,99.92,100.53,101.7,100.4,103.84,102.28,100.6,100.7,100.71,100.32,101.82,98.5,92.09,94.75,103.03,102.24,95.72,96.02,99.49,99.04,93.21,99.24,100.13,97.34,100.34,101.14,101.53,100.81,99.17,98.95,97.04,97.26,98.32,99.97,95.85,100.56,99.52,102.09,92.79,,54.57,48.21
Tupinamba,102.69,103.84,102.9,100.37,100.75,96.09,99.22,101.87,99.86,98.81,100.45,101.14,97.87,99.05,100.43,99.98,101.6,95.04,101.0,99.9,100.02,97.51,100.85,101.42,98.6,100.97,99.23,100.61,97.99,99.5,95.98,99.3,99.21,95.87,100.07,100.89,98.64,101.62,96.53,99.37,99.81,100.93,99.39,102.1,99.84,97.15,101.2,101.24,101.08,102.17,103.2,102.79,103.28,101.46,102.03,102.53,101.79,100.44,101.24,100.11,96.14,96.73,100.73,103.11,99.56,98.72,100.19,99.79,95.81,99.2,97.93,96.01,100.7,101.35,103.12,100.89,101.04,99.22,97.72,97.96,99.09,100.27,99.37,102.59,98.62,102.49,88.98,54.57,,53.99
Kaapor,96.91,99.8,105.62,99.22,100.58,99.07,97.22,99.72,96.99,101.24,102.27,102.16,99.93,100.71,100.13,99.91,101.87,96.4,100.72,100.52,99.11,98.95,98.0,99.84,100.61,100.23,101.39,97.91,100.22,97.83,96.55,100.7,100.36,96.74,102.18,97.83,96.47,102.07,101.03,102.83,102.08,99.49,99.28,100.78,97.52,101.75,98.76,101.78,100.09,101.43,102.93,101.25,101.43,103.51,100.73,100.68,102.13,102.83,101.5,100.06,96.75,99.01,102.47,103.71,98.39,96.52,100.36,99.58,97.27,101.77,100.32,97.32,102.26,101.96,100.98,101.17,99.54,99.62,99.99,97.4,98.28,99.71,99.1,101.32,99.54,97.44,95.03,48.21,53.99,
