,task_type,task_name,digest,lang_train,lang_pred,model_id,model_type,score
129,token-classification,udpos28,3822decc,nl,pt,xlm-roberta-base,ft,89.1801253199188
130,token-classification,udpos28,3822decc,nl,kk,xlm-roberta-base,ft,81.12018669778296
131,token-classification,udpos28,3822decc,nl,la,xlm-roberta-base,ft,73.18078156158076
132,token-classification,udpos28,3822decc,nl,fro,xlm-roberta-base,ft,31.397626454660678
133,token-classification,udpos28,3822decc,nl,bxr,xlm-roberta-base,ft,58.114035087719294
134,token-classification,udpos28,3822decc,nl,urb,xlm-roberta-base,ft,9.166666666666666
135,token-classification,udpos28,3822decc,nl,ko,xlm-roberta-base,ft,61.88920479629858
136,token-classification,udpos28,3822decc,nl,et,xlm-roberta-base,ft,86.26500947967138
137,token-classification,udpos28,3822decc,nl,hr,xlm-roberta-base,ft,87.0280296784831
138,token-classification,udpos28,3822decc,nl,got,xlm-roberta-base,ft,13.080996273779173
139,token-classification,udpos28,3822decc,nl,gsw,xlm-roberta-base,ft,37.603878116343495
140,token-classification,udpos28,3822decc,nl,aii,xlm-roberta-base,ft,14.348785871964681
141,token-classification,udpos28,3822decc,nl,sme,xlm-roberta-base,ft,31.3986013986014
142,token-classification,udpos28,3822decc,nl,pcm,xlm-roberta-base,ft,4.6978462396319784
143,token-classification,udpos28,3822decc,nl,lv,xlm-roberta-base,ft,85.64661930017678
144,token-classification,udpos28,3822decc,nl,zh,xlm-roberta-base,ft,58.41550927775736
145,token-classification,udpos28,3822decc,nl,tl,xlm-roberta-base,ft,71.04283054003724
146,token-classification,udpos28,3822decc,nl,bm,xlm-roberta-base,ft,20.08247124357954
147,token-classification,udpos28,3822decc,nl,lt,xlm-roberta-base,ft,85.06635309927768
148,token-classification,udpos28,3822decc,nl,gl,xlm-roberta-base,ft,85.04867872044505
149,token-classification,udpos28,3822decc,nl,vi,xlm-roberta-base,ft,64.57549142618151
150,token-classification,udpos28,3822decc,nl,el,xlm-roberta-base,ft,85.82757218381457
151,token-classification,udpos28,3822decc,nl,ca,xlm-roberta-base,ft,88.96788547107758
152,token-classification,udpos28,3822decc,nl,cs,xlm-roberta-base,ft,86.75959041693204
153,token-classification,udpos28,3822decc,nl,myv,xlm-roberta-base,ft,40.044004400440045
154,token-classification,udpos28,3822decc,nl,bho,xlm-roberta-base,ft,48.38709677419355
155,token-classification,udpos28,3822decc,nl,th,xlm-roberta-base,ft,64.9224979840516
156,token-classification,udpos28,3822decc,nl,mr,xlm-roberta-base,ft,88.34355828220859
157,token-classification,udpos28,3822decc,nl,eu,xlm-roberta-base,ft,76.6103224747682
158,token-classification,udpos28,3822decc,nl,sk,xlm-roberta-base,ft,87.16668009345041
159,token-classification,udpos28,3822decc,nl,quc,xlm-roberta-base,ft,23.19084483338943
160,token-classification,udpos28,3822decc,nl,yo,xlm-roberta-base,ft,15.506818501335582
161,token-classification,udpos28,3822decc,nl,wbp,xlm-roberta-base,ft,31.57894736842105
162,token-classification,udpos28,3822decc,nl,ta,xlm-roberta-base,ft,83.78482972136223
163,token-classification,udpos28,3822decc,nl,mt,xlm-roberta-base,ft,14.874017881332971
164,token-classification,udpos28,3822decc,nl,grc,xlm-roberta-base,ft,58.673007907098885
165,token-classification,udpos28,3822decc,nl,is,xlm-roberta-base,ft,83.70056628836429
166,token-classification,udpos28,3822decc,nl,gun,xlm-roberta-base,ft,21.2443095599393
