ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,classification_wals,classification_ethnologue,classification_glottolog,recently_extinct,long_extinct,year_of_extinction,code_wals,code_iso,transcribers
PARUWA,PARUWA,kama1367,Kamasau,kms,Papunesia,-3.83,143.83,Nuclear Torricelli,Tor.MARIENBERG,"Torricelli,Marienberg","Nuclear_Torricelli,Marienberg,Elepi-Kamasau-Marienberg",False,False,,kmz,kms,Søren Wichmann
PARYA,PARYA,pary1242,Parya,paq,Eurasia,36.49,69.26,Indo-European,IE.INDIC,"Indo-European,Indo-Iranian,Indo-Aryan,IntermediateDivisions,Western,Unclassified","Indo-European,Indo-Iranian,Indo-Aryan,Indo-AryanCentralzone,SubcontinentalCentralIndo-Aryan,Gujarati-Rajasthani,Rajasthani",False,False,,,paq,Tessa de Mol-van Valen
PASARWAJO,PASARWAJO,ciac1237,Cia-Cia,cia,Papunesia,-5.55,122.75,Austronesian,An.CELEBIC,"Austronesian,Malayo-Polynesian,Celebic,Eastern,Southeastern,Muna-Buton,NuclearMuna-Buton,Buton,WestButon","Austronesian,Malayo-Polynesian,Celebic,EasternCelebic,SoutheasternCelebic,Muna-Buton,NuclearMuna-Buton,Butonic",False,False,,,cia,André Müller and Mark Donohue
PASHIN_KAKARI_PASHTO,PASHIN_KAKARI_PASHTO,sout2649,Southern Pashto,pbt,Eurasia,30.42,68.83,Indo-European,IE.IRANIAN,"Indo-European,Indo-Iranian,Iranian,Eastern,Southeastern,Pashto","Indo-European,Indo-Iranian,Iranian,Pashto,NuclearPashto",False,False,,,pbt,André Müller
PASI,PASI,pasi1259,Pasi,psq,Papunesia,-3.95,142.31,Sepik,Sep.TAMA_SEPIK,"Sepik,Tama","Sepik,SepikTama,Mayo-Pasi,Yimin-Bel",False,False,,,psq,Matthew S. Dryer
PASSAMAQUODDY_MALISEET_UnnamedInSource,PASSAMAQUODDY_MALISEET_UnnamedInSource,male1292,Malecite-Passamaquoddy,pqm,North America,45.0,-67.0,Algic,Alg.ALGONQUIAN,"Algic,Algonquian,EasternAlgonquian","Algic,Algonquian,EasternAlgonquian",False,False,,psm,pqm,Søren Wichmann
PASS_VALLEY_YALI,PASS_VALLEY_YALI,pass1247,Pass Valley Yali,yac,Papunesia,-3.75,139.25,Nuclear Trans New Guinea,TNG.DANI,"Trans-NewGuinea,West,Dani,Ngalik","Nuclear_Trans_New_Guinea,Dani,Ngalik-Nduga,Yalic",False,False,,,yac,Matthew S. Dryer
PATANI,PATANI,pata1260,Patani,ptn,Papunesia,0.33,128.5,Austronesian,An.SOUTH_HALMAHERA-WEST_NEW_GUINEA,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,SouthHalmahera-WestNewGuinea,SouthHalmahera,Southeast","Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,GreaterSHWNG,SouthHalmahera-WestNewGuinea,RajaAmpat-SouthHalmahera,SouthHalmahera,Central-EasternSouthHalmahera",False,False,,,ptn,Julia Bischoffberger
PATAXO,PATAXO,pata1261,Pataxó Hã-Ha-Hãe,pth,South America,-17.5,-39.33,Nuclear-Macro-Je,MGe.MAXAKALI,Maxakalian,"Nuclear-Macro-Je,Maxakalian",True,False,,,pth,Viveka Velupillai
PATEP,PATEP,pate1247,Patep,ptp,Papunesia,-6.92,146.58,Austronesian,An.OCEANIC,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceanic,NorthNewGuinea,HuonGulf,South,Hote-Buang,Buang,Mumeng","Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceaniclinkage,NorthNewGuinealinkage,HuonGulf,SouthHuonGulflinkage,Buanglinkage,Mumeng",False,False,,pat,ptp,Ann-Katrin Wett
